country,publisher,dataset_name,contents,voltage_floor_kv,voltage_detail,format,access_method,download_url,download_size,licence_name,licence_verbatim,licence_odbl_mixable,last_updated,fetch_verified,assessment,notes
Germany,Staatsbetrieb Geobasisinformation und Vermessung Sachsen (GeoSN),ATKIS Basis-DLM Sachsen (Downloadbereich Basis-DLM),"Whole-Saxony ATKIS Basis-DLM including object class AX_Leitung / 51005 (the Saxon ATKIS object catalogue confirms 51005 AX_Leitung with attribute spannungsebene, and bauwerksfunktion value 1110 ""Freileitung"").",,"Same limitation as NRW: bauwerksfunktion has the single value 1110 Freileitung; spannungsebene is listed in the Saxon catalogue with no permitted-value list, no unit and no mandatory marker. Population not tested for Saxony.",NAS (zip) and Shapefile (zip); GeoPackage in WGS 84 via basemap.de,direct_file,https://geocloud.landesvermessung.sachsen.de/public.php/dav/files/DtPWngtLEJP8K3k/basisdlm_sn_shape.zip,"Shape zip 1,180 MB; NAS zip 1,130 MB","unknown - the download page states only ""kostenfreien Download"" with no licence named on the page",,unclear,"quarterly update cycle (""Die Daten werden quartalsweise aktualisiert""); page last modified 2026-08-05",True,complements_osm,"Included as the second-Land datapoint showing the German pattern: free download, but licence terms not stated at the point of download. Verified this session: the geodaten.sachsen.de Basis-DLM download page (both file names, both sizes, quarterly cycle) and the Saxon ATKIS object catalogue PDF (51005 AX_Leitung, spannungsebene listed, bauwerksfunktion 1110 = Freileitung as the sole value). The download URLs go through a Nextcloud-style public share path (public.php/dav/files/<token>/) - that token can be rotated, so re-read the landing page rather than hard-coding the URL in a pipeline. Resolve the licence with GeoSN before use; most Saxon geobasis data is DL-DE/Zero-2.0 but I did not verify that for this product, so it stays unclear."
Germany,AdV / basemap.de (federal-state surveying agencies),basemap.de Open Data - basisviews (Basis-DLM GeoPackages per Bundesland),"Basis-DLM-derived vector data as one GeoPackage per Bundesland, EPSG:4326, all 16 states published together - the only practical route to near-national German coverage in a single consistent format. Verified file names and sizes include basisviews_bdlm_BB_EPSG4326_2026-08-19.gpkg (593M), _BE_ (83M), _BW_ (2.3G), _BY_ (3.6G), plus HB, HE, HH, MV, NI, NW, RP, SH, SL, SN, ST, TH.",,unknown - see notes; layer list not verified,"GeoPackage, EPSG:4326",direct_file,https://basemap.de/dienste/opendata/basisviews,"per state, 83 MB (Berlin) to 3.6 GB (Bavaria); all files dated 2026-08-19",Datenlizenz Deutschland - varies by Bundesland between Zero 2.0 and Namensnennung 2.0,,yes,all files timestamped 2026-08-19 (fetched same day),True,complements_osm,"LAYER CONTENT UNVERIFIED - do not treat this as a confirmed power-line source until someone opens one gpkg and lists its layers. I verified the file offer itself (names, sizes, dates, GeoPackage/EPSG:4326) and the open-data page's licence statement that terms are per-state ""Datenlizenz Deutschland"" in Zero or Namensnennung variants, both of which are ODbL-compatible. What I could NOT verify: whether basisviews includes AX_Leitung. ""basisviews"" are AdV Smart Mapping cartographic views over Basis-DLM, not the full object model, and the open-data page does not enumerate layers; the AdV product-specification PDF 404'd. Cheapest test: pull basisviews_bdlm_BE_EPSG4326 (83 MB) and run ogrinfo -so. If AX_Leitung is absent, fall back to per-Land Basis-DLM (NRW entry) for the states you need. Per-state currency table is at https://basemap.de/dienste/opendata/basisviews_bdlm_datenaktualitaet.html but it renders client-side and could not be read."
Germany,Bundesamt fuer Kartographie und Geodaesie (BKG),"Digitales Landschaftsmodell 1:250 000 (DLM250, Ebenen) and Digitales Basis-Landschaftsmodell (Basis-DLM, national)","DLM250 is BKG's national open-data landscape model - roads, railways, water, settlement, vegetation, administrative boundaries. It contains NO power line layer. BKG's national Basis-DLM (Ebenen and kompakt), which does carry AX_Leitung, is a priced product.",,n/a - DLM250 has no power line objects at all.,"Shapefile (DLM250: dlm250.utm32s.shape.ebenen.zip, 300 MB); WFS also published",direct_file,https://daten.gdz.bkg.bund.de/produkte/dlm/dlm250/aktuell/dlm250.utm32s.shape.ebenen.zip,300 MB (DLM250),"Datenlizenz Deutschland Namensnennung 2.0 (DL-DE/BY-2.0) for DLM250; national Basis-DLM is priced from EUR 2,000",Die Daten werden geldleistungsfrei gemaess der Datenlizenz Deutschland Namensnennung 2.0 zur Verfuegung gestellt.,yes,"DLM250 data currency 2025-12-31, last change 2026-06-19, annual cycle",True,unusable,"Verified negative, recorded to close off the obvious federal route. Fetched the DLM250 open-data page (direct zip URL, 300 MB, licence sentence quoted, currency 2025-12-31) and confirmed the documented object layers do not include Leitungen. Also fetched the BKG Digitale Landschaftsmodelle index: the two Basis-DLM products (Ebenen and kompakt) are listed under licensed products at ""ab 2.000,00 EUR"", and the standalone Basis-DLM open-data URL 404s. So there is no free NATIONAL German power-line dataset from BKG - German coverage has to be assembled from the Laender. Licence marked mixable because DL-DE/BY-2.0 is attribution-only, but the assessment is unusable because the dataset carries no power line geometry."
Germany,TenneT TSO GmbH,Web Map Service mit den Netzdaten der TenneT TSO GmbH (geowms Leitungsnetz),"WMS layers, verbatim: Energiekabel, Energiekabel-ab2500, Leitungen, Maste, UW-Standorte (transformer station locations). Raster rendering only - no vector export.",,"Not documented. Coverage is described as TenneT's territory in Bavaria rather than its full German control area, so this is not even a complete TenneT DE picture.",WMS (GetMap / GetFeatureInfo),wfs_wms,https://geowms.tennet.eu/geowms/Leitungsnetz?request=GetCapabilities&service=WMS,,TenneT TSO GmbH proprietary - all rights to the network data reserved to TenneT; use bound to the provider's Impressum and terms of use,,no,"published 2019-01-01, updated fortnightly",True,metadata_only,"Verified via the GDI-DE metadata record 58e8e8b8-52d1-4f6f-ad24-521cd29551d3 this session. WMS only, no WFS and no downloadable vector, and the record states all rights in the network data remain with TenneT - so it is a visual cross-check at best. Useful for eyeballing whether an OSM line exists in reality, useless for fusion. Note the alternative endpoint the record also lists: https://geowms.tennet.eu/server/services/open/Leitungsnetz/MapServer/WMSServer - that path shape suggests an ArcGIS Server behind it, so a REST directory MAY be exposed at .../server/rest/services/open/Leitungsnetz/MapServer; I did not verify that and it would not fix the licence. No equivalent published service was found for 50Hertz, Amprion or TransnetBW. The VDE/FNN ""Deutsches Hoechstspannungsnetz"" map is a printed/PDF cartographic product, not geodata. Licence marked verbatim-null because the record text I saw was machine-translated to English, not the original German."
Germany,LUBW Landesanstalt fuer Umwelt Baden-Wuerttemberg (data from TransnetBW and Amprion via Bundesnetzagentur),Netzausbauplan der Uebertragungsnetzbetreiber,"PLANNED transmission projects, not the existing grid: route trajectories, corridor lengths, and the nature and purpose of each scheme, covering the projects in the Bundesbedarfsplan and the Energieleitungsausbaugesetz.",,"Not documented. Bundesbedarfsplan schemes are 380 kV AC and HVDC, so effectively 380 kV+, but the metadata does not state it.",WMS (ArcGIS MapServer WMSServer) - raster only,wfs_wms,https://rips-gdi.lubw.baden-wuerttemberg.de/arcgis/services/wms/Netzausbauplan/MapServer/WMSServer?SERVICE=WMS&REQUEST=GetCapabilities,,Nutzungsvereinbarung fuer Daten des Umweltinformationssystems (UIS) Baden-Wuerttemberg,Es gelten die Bedingungen der Nutzungsvereinbarung fuer Daten des UIS,unclear,Last data revision 2023-07-15; metadata stamp 2026-07-01; annual update cycle,True,metadata_only,"Verified via the GDI-DE record 19359BA9-1D32-4873-BCC0-7683E590BB86 this session. Two reasons it does not qualify as a geometry source: WMS only (no WFS, no file download), and it is a Baden-Wuerttemberg-hosted redistribution of BNetzA project data rather than a national dataset. Licence is a bespoke UIS usage agreement (terms at https://www.lubw.baden-wuerttemberg.de/umweltinformationssystem/nutzungsvereinbarung) - unresolved, so unclear. Relevance to this project is the compelling-event angle rather than the grid model: it is planned-corridor geometry for BBPlG/EnLAG schemes. Separately I checked BNetzA's own https://www.netzausbau.de/Vorhaben/uebersicht/karte/karte.html - view-only, no shapefile/GeoJSON/WFS/KML offer and no geodata licence statement, so BNetzA publishes no downloadable project geometry."
France,RTE (Réseau de Transport d'Électricité) via Open Data Réseaux Énergies (ODRÉ); mirrored on data.gouv.fr by DDTM de l'Eure (DDTM 27),Lignes aériennes RTE (data.gouv.fr mirror of ODRÉ dataset lignes-aeriennes-rte-nv),"Overhead transmission line segments of the French public transmission network operated by RTE, whole of metropolitan France. Line geometry only (no substations).",45.0,"RTE's network spans 45 kV to 400 kV plus DC (voltage tiers confirmed from the sibling ODRÉ dataset 'Nombre de postes électriques RTE par région et par niveau de tension'). CRITICAL: the published line schema carries no voltage field - the fetched ODRÉ field list is Code ligne, Nom ligne and ouvrage/LIT identifiers only. Voltage must be joined from RTE ouvrage references or parsed from line names.",ESRI Shapefile (also WMS/WFS); GeoJSON/SHP/CSV via the ODRÉ export API,direct_file,https://www.data.gouv.fr/api/1/datasets/r/9ab44d2c-3066-4074-ba1c-271002d1401d,4.6 MB (dataset page) / 4.8 MB (API resource record),Licence Ouverte / Open Licence version 2.0 (Etalab),Licence Ouverte / Open Licence version 2.0,yes,Data content dated 2023-06-30 (ODRÉ snapshot); mirror page last updated 2024-11-16; API last_modified 2023-11-02. ODRÉ master edition is 2026-06-16.,True,supersedes_osm,"This is the workhorse France line source. Verified twice: the data.gouv.fr dataset page and the /api/1/datasets/lignes-aeriennes-rte/ JSON both list the shapefile resource with the URL above under Licence Ouverte 2.0, and the description states national metropolitan coverage (not just Eure). Two material caveats before fusing: (1) the mirror is a 2023-06-30 snapshot, three years behind the current ODRÉ edition of 2026-06-16, so new-build corridors will be missing; (2) no voltage attribute, so it cannot by itself honour a 50 kV floor. Second shapefile resource on the same page: https://www.data.gouv.fr/api/1/datasets/r/63eacc3a-784e-49eb-a368-65913f7bed1b"
France,RTE via ODRÉ; mirrored on data.gouv.fr by DDTM de l'Eure (DDTM 27),Lignes souterraines RTE (underground cables),"Underground cable circuits of the RTE transmission network, metropolitan France. Line geometry only.",45.0,Same RTE 45-400 kV network scope; no voltage attribute confirmed in the published schema.,ESRI Shapefile (also WMS/WFS),direct_file,https://atom.geo-ide.developpement-durable.gouv.fr/atomArchive/GetResource?id=0d0a1d88-d5a0-4bae-98b1-b6010d461292&dataType=dataset,,Licence Ouverte / Open Licence version 2.0,Licence Ouverte / Open Licence Version 2.0,yes,2023-11-02 (API last_modified),True,supersedes_osm,"Verified on the data.gouv.fr search API (q=lignes souterraines RTE), which returned the DDTM 27 record with the Géo-IDE atom shapefile URL above under LO 2.0. Underground circuits are systematically under-mapped in OSM, so this is the highest-value France addition after the overhead layer. A second, older mirror exists from DDT du Cantal (LO 1.0, 2018) and a current département-scoped one from DDT Haute-Loire (2025-01-16): https://atom.geo-ide.developpement-durable.gouv.fr/atomArchive/GetResource?id=e5ca418c-6d4a-4b0d-8d5a-4c166a10c9e3&dataType=dataset"
France,RTE via Open Data Réseaux Énergies (ODRÉ),Sites électriques RTE et points de piquage (ODRÉ dataset id postes-electriques-rte),"All electrical sites owned or co-owned by RTE plus non-RTE sites where an RTE line terminates; distinguishes transformation substations from tap-off points. Point geometry, metropolitan France.",45.0,"All RTE voltage levels aggregated per site; the sibling statistics dataset enumerates 45, 63, 90, 150, 225, 400 kV and DC. RTE states it deliberately degraded GPS precision for security reasons.",Opendatasoft exports (GeoJSON / SHP / CSV / KML) via the ODRÉ portal,portal_robots_blocked,,,Licence Ouverte / Open Licence v2.0 (as stated for ODRÉ datasets mirrored on data.gouv.fr; not shown on the ODRÉ dataset page itself),,yes,2026-06-16 (edition date shown on the ODRÉ information page),False,complements_osm,"Honest status: I fetched https://odre.opendatasoft.com/explore/dataset/postes-electriques-rte/information/ and saw title, producer RTE, 2026-06-16 edition and the description - but NOT a download link, so this is fetch_verified=false per the rules. Everything under odre.opendatasoft.com/api/ is robots-disallowed (both /api/explore/v2.1/catalog/datasets/{id} and /exports returned ROBOTS_DISALLOWED), and the /explore/.../export page renders its format list client-side. ODRÉ's geo datasets are NOT mirrored on data.gouv.fr - I pulled the full ODRÉ organisation dataset list (https://www.data.gouv.fr/api/1/organizations/open-data-reseaux-energies-1/datasets.csv) and only statistical tables are there. However the export URL pattern IS confirmed from a fetched page: the data.gouv.fr record for 'Nombre de postes électriques RTE par région et par niveau de tension' exposes https://odre.opendatasoft.com/api/explore/v2.1/catalog/datasets/postes-electriques-region-tension/exports/csv?use_labels=true - the same /exports/{format} route with dataset id postes-electriques-rte should yield geojson, but I did not construct or verify it. Fetch it with a normal HTTP client (not a robots-respecting fetcher) to confirm."
France,"Direction Départementale des Territoires de la Haute-Loire (DDT 43), Géo-IDE / data.gouv.fr - mirror of ODRÉ RTE data",Postes électriques de RTE en Haute-Loire,"RTE substation points, département 43 only. Proof that the Géo-IDE mirror route delivers RTE substation geometry as a plain shapefile under an open licence.",45.0,Not stated in the metadata; inherits RTE site scope (45-400 kV).,ESRI Shapefile (also WMS/WFS),direct_file,https://atom.geo-ide.developpement-durable.gouv.fr/atomArchive/GetResource?id=d61ec0a2-33b8-4400-9051-78fca55e67a3&dataType=dataset,,Licence Ouverte / Open Licence version 2.0,Licence Ouverte / Open Licence Version 2.0,yes,2025-01-16,True,complements_osm,"Included only because it is the one RTE substation file I could verify end to end. Département-scoped, so useless as a national layer - but it demonstrates that DDT/DREAL bodies republish the ODRÉ RTE layers on Géo-IDE under LO 2.0, and a sweep of those publishers may assemble national substation coverage if the ODRÉ export route stays blocked. A regional alternative with a download link: DREAL Auvergne-Rhône-Alpes 'Postes du Réseau de Transport d'Electricité de RTE en Auvergne-Rhône-Alpes', https://telechargement.open-datara.fr/download/6ff46060-caa3-11de-ace6-0030485c9eb6 (licence not stated, 2019). A national-coverage WFS mirror also exists at Communauté d'Agglomération du Puy-en-Velay (layer electricite-transport:postes_electriques, https://geoportail.lepuyenvelay.fr/geoserver/wfs?, data as of 2024-06-10) but its data.gouv.fr record states no licence."
France,IGN (Institut national de l'information géographique et forestière),"BD TOPO (energy theme: ligne_electrique, poste_de_transformation)",National topographic vector database. Contains an electricity line class (ligne_electrique) and a transformer/substation class (poste_de_transformation) among 35+ classes. Both lines and substations in one product.,,"unknown - I could not verify the attribute schema this session. bdtopoexplorer.ign.fr returned 403 and documentation.geoservices.ign.fr failed TLS hostname verification, so I cannot confirm whether ligne_electrique carries numeric kV or a coarse HT/THT class. Treat the voltage attribute as unverified.","GeoPackage, ESRI Shapefile, SQL (per-département, per-région and France entière archives)",direct_file,https://www.data.gouv.fr/datasets/bd-topo-r,,Licence Ouverte / Open Licence version 2.0 (Etalab),Licence Ouverte / Open Licence version 2.0,yes,2026-07-31 (data.gouv.fr dataset page),True,complements_osm,"The URL given is the data.gouv.fr DATASET PAGE, not a file - be aware. I fetched it and confirmed IGN as publisher, LO 2.0, a 2026-07-31 update and 149 resources including shapefile entries with https://www.data.gouv.fr/api/1/datasets/r/{id} URLs, plus a resource titled 'Télécharger BD TOPO® régions, France entière format SQL et GeoPacKage' pointing at https://geoservices.ign.fr/bdtopo#telechargementshpreg. That geoservices URL 302s to https://cartes.gouv.fr/rechercher-une-donnee/dataset/IGNF_BD-TOPO which is a JS app and returned an empty body, so I could NOT copy a national archive file URL. Value proposition: BD TOPO is surveyed 1:5000-class geometry and, unlike the RTE layer, it includes substation polygons - but it is topographic mapping of visible infrastructure, so completeness at 50-90 kV and voltage tagging both need checking against a sample before it is trusted as a voltage-filterable source."
Belgium,Nationaal Geografisch Instituut / Institut Géographique National (NGI/IGN Belgium),Top10Vector – High-voltage network,"Two feature types: HT_hightensionlinesegment (high-voltage line segments, x/y/z geometry) and HT_powerpylon (pylons). National coverage of Belgium. No substations - I verified separately that the Top10Vector 'Constructions' theme (CO_Building, CO_Brunnel, CO_Particular*, CO_TowerOnBuilding, ZO_ParticularZone) contains no electricity substation or transformer feature type.",,unknown - the metadata record names the feature types but does not state a voltage threshold or a voltage attribute. As topographic capture of overhead HV lines it will not distinguish 70 kV from 380 kV and will omit underground cable. Attribute schema is in Top10Vector_ProductSpecification_EN.pdf (https://ac.ngi.be/remoteclient-open/ngi-standard-open/Specifications/Vectordata/Top10Vector_ProductSpecification_EN.pdf).,"GeoPackage 1.3.0 and ESRI Shapefile, in EPSG:3812 (Lambert 2008) and EPSG:4326",direct_file,https://ac.ngi.be/remoteclient-open/ngi-standard-open/Vectordata/Top10Vector/Top10Vector-HighTensionNetwork/c6c6d674-e3c5-47a9-8398-f4e1082d3e8e_geopackage+sqlite3_4326.zip,,Creative Commons Attribution 4.0 (CC BY 4.0),"""Creative Commons Attribution 4.0"" (https://creativecommons.org/licenses/by/4.0/); ""No limitations on public access"". NGI's open-data FAQ adds: ""you as the user must credit NGI as the creator of the data and provide a link to the licence"", modifications must be indicated, and no additional restrictions may be imposed.",yes,2026-01-23 (revision date on the geo.be metadata record),True,complements_osm,"The single best Belgium source and cleanly licensed. Verified on the federal catalogue record at https://publish.geo.be/geonetwork/srv/api/records/c6c6d674-e3c5-47a9-8398-f4e1082d3e8e, which lists the four direct archive URLs (GPKG and SHP, in 3812 and 4326), the CC BY 4.0 constraint and the 2026-01-23 revision. EPSG:3812 variant: .../c6c6d674-e3c5-47a9-8398-f4e1082d3e8e_geopackage+sqlite3_3812.zip; shapefiles substitute _x-shapefile_. ATOM download service: https://ac.ngi.be/remoteclient-open/ngi-standard-open/ATOM/52fa45ee-89df-11ee-b89a-089204088251-en.xml. WMS: https://data.geo.be/ws/top10vector/wms?service=wms&request=getcapabilities&version=1.3.0. Not marked supersedes_osm because there is no voltage attribute (so it cannot be filtered to the 50 kV floor), no substations, and probably no underground cable - it is a geometry-accuracy reference and a completeness check, not a replacement. Note the file bundles pylons with lines; drop HT_powerpylon on import."
Belgium,Elia Transmission Belgium,Elia Open Data Portal (opendata.elia.be) - negative finding,"106 datasets, but market and system operation timeseries (load, physical flows, generation, balancing, congestion), not network geometry. No downloadable line or substation GIS layer found. The transmission hosting-capacity map at https://opendata.elia.be/map/ is an interactive viewer.",,"Elia operates 30, 36, 70, 150, 220 and 380 kV in Belgium - all of which sit above the 50 kV floor except the 30/36 kV tier - but none of it is published as open geometry.",CSV / JSON / API (timeseries),viewer_only_no_download,,,Elia Open Data Licence,,unclear,,False,metadata_only,"Recorded as a negative so nobody spends time here. I fetched https://www.elia.be/en/grid-data/open-data and it describes only generation, load, balancing, transmission and congestion data - no geospatial infrastructure layer. https://www.elia.be/en/grid-data/elia-open-data-license returned 403 and https://data.gov.be/en/license/elia-open-data-license failed robots.txt retrieval, so the licence terms are unverified - do not assume ODbL compatibility. Belgian line geometry therefore has to come from NGI Top10Vector, and Belgian substation geometry has no authoritative open source I could find."
Luxembourg,Administration du cadastre et de la topographie / Géoportail Luxembourg (data.public.lu),INSPIRE Annex III - ElectricityNetwork UtilityLink - BD-L-TC electricity transmission lines from the official carto-/topographic database,"Electricity transmission line geometry for Luxembourg, derived from BD-L-TC, the official carto-topographic database at 1:5000, transformed into the INSPIRE Utility Networks model. Lines only.",,"unknown - the record says 'electricity transmission lines' without a voltage threshold. The INSPIRE US ElectricityNetwork model has an optional nominalVoltage attribute, so inspect the GML before assuming it is absent.",GML (INSPIRE schema); WMS view service,direct_file,https://download.data.public.lu/resources/inspire-annex-iii-utility-and-governmental-services-electricitynetwork-utilitylink-bd-l-tc-electricity-transmission-lines-from-the-official-carto-topographic-database-3/20260612-122754/us.electricitynetwork-utilitylink.gml,,Creative Commons Zero (CC0),Creative Commons Zero (CC0) / cc-zero (licence id on data.public.lu),yes,2026-06-12,True,complements_osm,"Cleanest licence in the whole region - CC0, no attribution obligation at all. Verified on the data.public.lu dataset page and again via the /api/1/datasets/?q=electricitynetwork search, which returned the full resource URL above. Luxembourg is small enough that a full authoritative rebuild is trivial. WMS: https://wms.inspire.geoportail.lu/geoserver/us/wms?service=WMS&version=1.3.0&request=GetCapabilities. Not marked supersedes_osm only because voltage attribution is unconfirmed; if the GML carries nominalVoltage this becomes a straight replacement for Luxembourg."
Luxembourg,Administration du cadastre et de la topographie / Géoportail Luxembourg (data.public.lu),INSPIRE Annex III - ElectricityNetwork Appurtenance - Electricity Station - BD-L-TC power stations from the official carto-/topographic database,"Electricity station (substation) objects from BD-L-TC, INSPIRE-transformed. Companion 'Transformer' (surface) and 'Transformer Point' layers cover transformer objects.",,unknown - no voltage threshold stated in the metadata.,GML (INSPIRE schema); WMS view service,direct_file,https://download.data.public.lu/resources/inspire-annex-iii-utility-and-governmental-services-electricitynetwork-appurtenance-electricity-station-bd-l-tc-power-stations-from-the-official-carto-topographic-database-1/20260612-122753/us.electricitynetwork-appurtenance-electricitystation.gml,,Creative Commons Zero (CC0),cc-zero,yes,2026-06-12,True,complements_osm,"Substation counterpart to the UtilityLink layer, same publisher, same CC0 terms, same 2026-06-12 vintage. Two further companion layers with verified full URLs: transformer surface objects at https://download.data.public.lu/resources/inspire-annex-iii-utility-and-governmental-services-electricitynetwork-appurtenance-transformer-bd-l-tc-surface-objects-of-the-transformators-from-the-official-carto-topographic-database-1/20260612-122755/us.electricitynetwork-appurtenance-transformer.gml and transformer points at https://download.data.public.lu/resources/inspire-annex-iii-utility-and-governmental-services-electricitynetwork-appurtenance-transformer-point-bd-l-tc-point-objects-of-the-transformators-from-the-official-carto-topographic-database-3/20260612-122757/us.electricitynetwork-appurtenance-transformerpoint.gml . An ElectricityNetwork Pole layer (pylons) also exists in the same series - skipped."
Netherlands,TenneT TSO B.V.,TenneT Assets Hoogspanning (ArcGIS FeatureServer),"Six layers verified from the service directory: Mast (0), Bliksemdraad (1), Hoogspanning leiding bovengronds (2, overhead lines), Hoogspanning kabel ondergronds (3, underground cables), Opstijgpunt (4), Hoogspanning station (5, substations). Lines AND substations in one service. Service description: 'Hoogspanningsnet Nederland - Asset gegevens TenneT TSO B.V.'",110.0,"Service description states 'public information about Dutch high-voltage stations and connections of 110 kV and above currently in operation'. The OSM wiki documents the source voltage field as SE_FLD**_SPANNINGSNIVEAU, mapped to OSM voltage in volts (e.g. 110000, or 110000;10000 at mixed substations). So a usable numeric voltage attribute exists - the only entry in this region where that is confirmed.","ArcGIS FeatureServer (JSON query; supports ConvertFormat, Get Estimates, Create Replica - so extract is possible). Max 2000 records per query.",arcgis_rest,https://services-eu1.arcgis.com/WjozPuR5ROn6NZE8/arcgis/rest/services/TenneT_Assets_Hoogspanning/FeatureServer,,"""Alle rechten voorbehouden. TenneT TSO B.V."" (all rights reserved) per the ArcGIS item licenseInfo - contradicted by a public-domain statement recorded by the OSM community","licenseInfo: ""Alle rechten voorbehouden. TenneT TSO B.V.""; accessInformation: ""TenneT TSO B.V."" (fetched from https://www.arcgis.com/sharing/rest/content/items/02d4cfaf2a9241b68f9520748081d7e9?f=json). Counter-evidence on the OSM wiki: ""TenneT states that this dataset is in the public domain and fit for use within OpenStreetMap"", sourced to an email from TenneT, plus ""ArcGIS states that they are only providing the online environment and do not pose any additional license restrictions.""",unclear,2025-05-12 (ArcGIS item modified date),True,complements_osm,"Two things matter here. (1) The licence is the gate and it is genuinely ambiguous: the machine-readable licenseInfo says all rights reserved, while https://wiki.openstreetmap.org/wiki/Power_networks/Netherlands/TenneT_Hoogspanning_Dataset records an emailed public-domain declaration. Get that in writing before fusing, or the ODbL output is contaminated. (2) Circularity risk: OSM's Dutch 110 kV+ network has already been built from this dataset under that permission, so fusing it may add little beyond currency and will not be an independent cross-check. Use it to date-check rather than to fill gaps. Not supersedes_osm precisely because the licence is not established as reusable."
Netherlands,"Liander / Alliander N.V. (regional DSO - Gelderland, Noord-Holland, Friesland, Flevoland, Zuid-Holland part)",Liander Open Data Elektra (ArcGIS FeatureServer) / 'Liggingsgegevens elektriciteitsnetten',"Nine layers with verified individual endpoints, including Hoogspanningskabel (FeatureServer/632, underground), Hoogspanningskabel bovengronds (638, overhead), Hoogspanningsstation (641), Stationsterrein (530), Stationsgebouw (644), plus MS/LS cables and stations. Lines AND substations. Layers follow the Netbeheer Nederland Open Data Guidelines; sourced from Alliander's asset register and refreshed monthly by script.",50.0,"The uniform Netbeheer Nederland classification used by this dataset (confirmed on the data.overheid.nl record) is HS >= 50 kV, MS >400 V and <50 kV, LS <=400 V. So the Hoogspanning layers are exactly the 50 kV sub-transmission tier that the OSM dataset's floor is set to capture. Item snippet notes the HS content is 'deels van Liander, deels van TenneT' - partly TenneT-owned assets shown for context, so deduplicate against the TenneT service.",ArcGIS FeatureServer (JSON query / ConvertFormat),arcgis_rest,https://services1.arcgis.com/v6W5HAVrpgSg3vts/arcgis/rest/services/Liander_Open_Data_Elektra/FeatureServer,,CC BY 4.0,"ArcGIS item licenseInfo: ""Open data: CC-BY (4.0)""; accessInformation: ""Alliander"". data.overheid.nl records the licence as ""CC-BY (4.0)"". Disclaimer on the companion web map: ""Aan deze data en/of informatie kunt u geen rechten ontlenen. Gebruik ervan is geheel voor eigen rekening en risico.""",yes,2025-01-07 (FeatureServer item modified); web map 2024-04-30; monthly automated refresh claimed,True,complements_osm,"The strongest sub-transmission find in the region: a DSO publishing 50 kV lines and substations under plain CC BY 4.0. Verified via https://www.arcgis.com/sharing/rest/content/items/11b7bcf1b78b4462b91db0dff234cf78?f=json (licence + service URL) and the web-map item data at .../items/0097c633fb7f421aad7053f55060fa9c/data?f=json which enumerated the layer endpoints. Layer ids to pull: 632 and 638 (HS cable), 641 (HS station), 530/644 (station terrain/building). Beware: the no-rights-derived disclaimer is a liability disclaimer, not a licence restriction - the licence field is unambiguous. Note PDOK retired Liander's 'Ligging Elektriciteitsnetwerken' service, so use this ArcGIS endpoint rather than the old geodata.nationaalgeoregister.nl WFS."
Netherlands,"Stedin Netbeheer B.V. (regional DSO - Zuid-Holland, Utrecht, Zeeland)",Open liggingsdata kabels en leidingen,"Per-asset shapefile archives. High-voltage set: hoogspanningsverbindingen.zip (HS connections/lines) and hoogspanningsstations.zip (HS substations). Also MS/LS stations and connections, and a Zeeland basisgegevens bundle.",50.0,Page states the classification explicitly: HS (hoogspanning) >= 50 kV; MS >400 V and <50 kV; LS <=400 V. Coordinates in Amersfoort / RD New (EPSG:28992).,ESRI Shapefile in ZIP; also an ArcGIS-based interactive map,direct_file,https://www.stedin.net/-/media/project/online/files/zakelijk/branches/liggingsdata/hoogspanningsverbindingen.zip?rev=74e27d1e113a4a44a450940e160f26b3,,No licence stated; disclaimer only,"""Aan deze gegevens kunnen geen rechten worden ontleend"" and ""Getoonde gegevens vervangen in GEEN geval de verplichting voor een KLIC-melding"". No open licence is named anywhere on the page.",unclear,,True,complements_osm,"Direct static ZIPs, verified by re-fetching the page for literal hrefs. Companion substation file: https://www.stedin.net/-/media/project/online/files/zakelijk/branches/liggingsdata/hoogspanningsstations.zip?rev=e6f391619c7d43cd82dcdb21e5e99157 . Licence is the problem - Stedin publishes this as 'open data' but names no licence, so it is 'unclear' and must not be mixed into an ODbL product without written confirmation. Since Liander (CC BY 4.0) and Enexis publish equivalent HS layers under the same Netbeheer Nederland schema, the three DSO sets plus TenneT would give complete Dutch 50 kV+ coverage if the licences can be resolved."
